UserID;Location;Age
158;nufringen, baden-wuerttemberg, germany;38
160;almada, n/a, portugal;20
161;lisboa, lisboa, portugal;27
164;tuxtla gutierrez, chiapas, mexico;33
165;olympia, washington, usa;62
166;bacchus marsh, victoria, australia;20
168;sunnyvale, california, usa;44
171;ita´┐¢sÒ»ápaulo, brazil;29
172;rio de janeiro, rio de janeiro, brazil;66
174;kandy, central, sri lanka;31
176;london, london, united kingdom;34
177;amsterdam, n/a, netherlands;46
178;rexford, new york, usa;28
182;buitenpost, fryslÔ«¼ netherlands;36
183;porto, porto, portugal;27
185;baton rouge, louisiana, usa;17
187;mcas futenma fpo ap okinawa, n/a, usa;29
188;portland, oregon, usa;17
189;blankenberge, n/a, belgium;31
190;wezembeek-oppem, brussels, belgium;33
191;berlin, berlin, germany;40
193;mumbai, maharashtra, india;23
195;chandler, arizona, usa;23
196;subang jaya, selangor darul ehsan, malaysia;33
198;augsburg, bayern, germany;21
199;austin, texas, usa;38
200;aberdeen, scotland, united kingdom;27
202;ottawa, ontario, canada;28
204;turner, oregon, usa;15
205;istanbul, victoria, turkey;23
206;versailles, ile de france, france;60
209;pj, selangor, malaysia;21
210;albany, new york, usa;54
211;lleida, lleida, spain;21
212;manila, n/a, philippines;21
214;longmont, colorado, usa;27
215;port alberni, british columbia, canada;20
216;barcelona, georgia, spain;42
218;hyderabad, alabama, india;41
221;palm beach, florida, usa;79
228;ann arbor, michigan, usa;41
229;delhi, delhi, india;22
232;mumbai, maharashtra, india;16
234;joensuu, n/a, finland;25
235;oeiras, lisboa, portugal;22
237;plymouth, minnesota, usa;27
238;guildford, surrey, united kingdom;23
240;brisbane, queensland, australia;20
242;neuffen, baden-wuerttemberg, germany;37
245;lajolla, california, usa;31
246;tananger, rogaland, norway;16
247;zografou, athens, greece;23
248;chilliwack, british columbia, canada;15
249;amsterdam, noord-holland, netherlands;29
250;minneapolis, minnesota, usa;25
251;valladolid, castilla y le¾«¼áspain;54
252;13001 safat, kuwait, kuwait;65
253;milano, lombardia, italy;28
254;minneapolis, minnesota, usa;24
255;antofagasta, alabama, chile;32
259;jacksonville, north carolina, usa;45
260;chisholm, minnesota, usa;51
261;lonsee, baden-wuerttemberg, germany;45
262;rockford, illinois, usa;28
264;taipei, n/a, taiwan;23
265;tianjin, n/a, china;24
267;cleveland, ohio, usa;29
271;karachi, pakistan, pakistan;22
272;walla walla, washington, usa;20
274;bologna, emilia romagna, italy;26
277;dubbo, new south wales, australia;15
278;chicago, illinois, usa;21
281;dresden, sachsen, germany;31
284;barcelona, barcelona, spain;35
286;seattle, washington, usa;17
288;hallowell, maine, usa;19
289;tampa, florida, usa;15
292;tucson, arizona, usa;22
293;winnipeg, manitoba, canada;25
295;lanham, maryland, usa;28
296;lleida, lleida, spain;21
297;daly city, california, usa;27
299;paris, paris, france;42
301;walled lake, michigan, usa;32
302;capitola, california, usa;53
304;kailua, hawaii, usa;24
307;koski, uusimaa, finland;27
309;london, england, united kingdom;30
310;barcelona, n/a, spain;26
311;ridderkerk, n/a, netherlands;34
314;Õ▓¿us, n/a, denmark;28
316;kyle, saskatchewan, canada;23
317;tyner, north carolina, usa;41
319;1407 kbenhavn k, n/a, denmark;32
320;minneapolis, minnesota, usa;37
321;liaquat pur, punjab, pakistan;24
323;seattle, washington, usa;23
328;moscow, idaho, usa;33
329;sanghar, sindh, pakistan;21
331;buenos aires, buenos aires, argentina;60
332;lake oswego, oregon, usa;59
333;barcelona, alberta, spain;23
334;jyvõ│½ylõ¼án/a, finland;27
335;modena, emilia romagna, italy;27
336;bilbao, vizcaya, spain;27
337;mß¼íga, n/a, spain;17
339;tampere, pirkanmaa, finland;20
340;cebu, cebu, philippines;15
341;ormesson, ile de france, france;50
342;sokoto, niedersachsen, nigeria;28
344;leicester, england, united kingdom;25
345;columbia, tennessee, usa;27
346;montreal, quebec, canada;29
347;montreal, quebec, canada;34
352;windsor, connecticut, usa;28
353;madrid, n/a, spain;41
357;newcastle upon  tyne, england, united kingdom;29
360;barcelona, barcelona, spain;33
361;premiÓáñe dalt, barcelona, spain;25
362;thunder bay, ontario, canada;63
367;culver city, california, usa;45
368;west point, virginia, usa;35
372;bamberg, bayern, germany;22
374;braunschweig, niedersachsen, germany;45
375;leipzig, sachsen, germany;28
376;fishers, indiana, usa;35
378;nice, california, usa;57
379;vancouver, british columbia, canada;47
384;bucuresti, n/a, romania;23
386;karaj, tehran, iran;20
387;charity, missouri, usa;17
388;nashville, tennessee, usa;35
389;barcelona, catalunya, spain;22
390;chapmanville, west virginia, usa;48
392;barcelona, catalunya, spain;44
393;brighton, east sussex, united kingdom;24
394;lonodn, calabria, united kingdom;25
395;madrid, n/a, spain;24
397;almada, almada, portugal;50
399;abuja, fct abuja, nigeria;41
401;la plata, buenos aires, argentina;28
402;manchester, england, united kingdom;19
404;chicago, illinois, usa;37
406;madrid, madrid, spain;37
408;mountain view, california, usa;17
409;almada, almada, portugal;50
410;york, yorkshire, united kingdom;40
411;defiance, ohio, usa;27
413;naperville, illinois, usa;17
414;portland, oregon, usa;34
416;warrington, pennsylvania, usa;31
419;grove city, pennsylvania, usa;14
420;canberra, australian capital territory, australia;14
421;sioux city, iowa, usa;47
422;edmonton, alberta, canada;23
424;portland, oregon, usa;29
425;calgary, alberta, canada;32
429;brockport, new york, usa;25
431;ridgway, pennsylvania, usa;40
433;smock, pennsylvania, usa;48
436;ivanhoe, melbourne, victoria, australia;53
438;rome, lazio, italy;34
440;brookfield, wisconsin, usa;16
442;london, n/a, united kingdom;24
443;lawrenceburg, indiana, usa;47
444;sweet home, oregon, usa;40
448;batavia, new york, usa;22
450;napoli, campania, italy;31
451;bismarck, north dakota, usa;33
454;norwich, norfolk, united kingdom;50
455;calgary, alberta, canada;54
456;norridgewock, maine, usa;31
457;esher, england, united kingdom;62
458;kenniwick, washington, usa;17
459;east moline, illinois, usa;37
461;singapore, n/a, singapore;15
462;brookside, new jersey, usa;18
463;rouse hill, new south wales, australia;20
464;dahanu, maharashtra, india;24
469;corona, california, usa;18
471;melbourne, victoria, australia;31
473;makati city, luzon, philippines;25
475;vancouver, british columbia, canada;34
477;charlottesville, virginia, usa;45
478;albuquerque, new mexico, usa;13
480;wanamassa, new jersey, usa;62
482;valencia, california, usa;46
483;shelton, washington, usa;72
484;clarkston, michigan, usa;17
485;las vegas, nevada, usa;51
486;portland, oregon, usa;31
488;boston, massachusetts, usa;25
491;windsor, ontario, canada;26
492;chicago, illinois, usa;60
493;manhattan, kansas, usa;29
496;west salem, wisconsin, usa;51
497;susquehanna, pennsylvania, usa;51
498;charleston, south carolina, usa;29
499;la verne, california, usa;62
500;san antonio, texas, usa;17
502;dearborn, michigan, usa;47
503;el centro, california, usa;40
504;tularosa, new mexico, usa;29
505;washington, dc, usa;51
508;portland, oregon, usa;29
512;winter springs, florida, usa;58
514;bonney lake, washington, usa;30
515;bourbonnais, illinois, usa;24
517;grinnell, iowa, usa;22
519;sheffield, england, united kingdom;23
523;bozeman, montana, usa;19
524;valentine, new south wales, australia;37
525;issy les moulineaux, ile de france, france;29
526;hamburg, hamburg, germany;35
527;mainz, rheinland-pfalz, germany;22
528;singapore, alabama, singapore;16
529;new york, new york, usa;28
530;moab, utah, usa;47
531;st. augustine, florida, usa;56
532;cordoba, argentina, argentina;53
533;london, england, united kingdom;31
534;rosharon, texas, usa;59
536;hcm, hcm, vietnam;20
538;perryville, missouri, usa;26
540;watertown, south dakota, usa;67
541;brooklyn, new york, usa;45
543;hanoi, hanoi, vietnam;27
546;firenze, toscana, italy;51
551;kolkata, victoria, india;19
553;nykbing sjµ¼¼and, n/a, denmark;16
555;teramo, abruzzo, italy;36
556;port charlotte, florida, usa;31
557;oceanside, colorado, usa;49
561;shrewsbury, pennsylvania, usa;35
564;franksville, wisconsin, usa;15
565;franklin, tennessee, usa;48
569;lahore, punjab, pakistan;28
571;diemen, n/a, netherlands;23
572;gabes, gabes, tunisia;23
573;cairo, connecticut, egypt;31
574;terrassa, catalunya, spain;33
575;gaia, douro litoral, portugal;23
576;bern, prince edward island, switzerland;35
579;tiruchirapalli, n/a, india;29
580;logro±»¼ála rioja, spain;22
581;zaragoza, arag¾«¼áspain;45
582;adelaide, south australia, australia;56
583;tashkent, uzbekistan, uzbekistan;19
584;doha, doha, qatar;23
586;kuala-lumpur, selangor, malaysia;26
588;roseville, minnesota, usa;60
591;miami beach, florida, usa;42
593;port hawkesbury, nova scotia, canada;28
595;hollywood, florida, usa;17
596;san francisco, california, usa;49
597;astoria, new york, usa;43
598;raqqa, raqqa, syria;34
599;north plainfield, new jersey, usa;36
600;tehran, tehran, iran;20
602;forest grove, oregon, usa;23
604;knox, indiana, usa;42
607;beijing, beijing, china;31
608;somerville, massachusetts, usa;30
609;madrid, madrid, spain;34
610;valencia, n/a, spain;19
611;solbiate, lombardia, italy;24
612;oak park, illinois, usa;20
614;montecassiano, marche, italy;28
615;parede, lisboa, portugal;29
616;fremont, california, usa;34
617;porto, n/a, portugal;54
620;toronto, ontario, canada;45
621;segovia, n/a, spain;48
622;salvador, bahia, brazil;23
625;marseille, provence, france;41
626;graz, steiermark, austria;41
629;kiel, schleswig-holstein, germany;44
630;paris, n/a, france;33
632;rochester, minnesota, usa;15
634;dsseldorf, nordrhein-westfalen, germany;50
635;toronto, ontario, canada;24
637;singapore, singapore, singapore;20
638;san diego, california, usa;20
642;houston, texas, usa;37
643;grenoble, rhone-alpes, france;23
646;cardiff, wales, united kingdom;21
647;perth, western australia, australia;35
651;interlachen, florida, usa;26
654;ottawa, ontario, canada;30
655;monroe, north carolina, usa;58
658;jasper, georgia, usa;61
661;zweibrcken, rheinland-pfalz, germany;22
662;high prairie, alberta, canada;21
663;vigo, galicia, spain;49
664;alicante, alicante, spain;26
668;nasik, maharashtra, india;27
669;kannur, kerala, india;24
673;varanasi, uttar pradesh, india;23
676;london, abruzzo, italy;31
677;baton rouge, louisiana, usa;27
679;oregon city, oregon, usa;65
680;edgewood, maryland, usa;28
681;banda aceh, nad, indonesia;20
682;smyrna, georgia, usa;44
683;union, illinois, usa;28
684;atlanta, georgia, usa;44
685;stevens point, wisconsin, usa;21
687;montemor-o-novo, alberta, romania;35
688;beacon hill, new south wales, australia;14
689;paris, n/a, france;22
690;lake oswego, oregon, usa;80
691;london, greater london, united kingdom;25
692;ottawa, kansas, usa;44
693;alexandria, virginia, usa;58
696;windsor, ontario, canada;13
700;georgetown, n/a, malaysia;16
701;mountain view, california, usa;31
702;mount joy, pennsylvania, usa;53
703;pascagoula, mississippi, usa;52
709;roanoke, virginia, usa;14
710;piracicaba, sÒ»ápaulo, brazil;42
711;oxford, england, united kingdom;27
712;pratteln, baselland, switzerland;29
713;abingdon, n/a, united kingdom;49
716;mexico, df, mexico;34
718;lanham, maryland, usa;30
719;mississauga, ontario, canada;52
720;washington dc, dc, usa;16
722;longwood, florida, usa;66
725;aveiro, aveiro, portugal;24
726;eatontown, new jersey, usa;31
727;lisboa, n/a, portugal;40
730;albuquerque, new mexico,;69
733;timaru, south canterbury, new zealand;53
735;cortland, new york, usa;29
736;trebur, hessen, germany;34
739;oakdale, minnesota, usa;55
741;novinger, missouri, usa;16
744;ocala, florida, usa;48
745;frankfurt, hessen, germany;25
746;longmont, colorado, usa;36
748;ourense, ourense, spain;14
750;zurich, zurich, switzerland;36
751;zaragoza, aragon, spain;41
754;leverkusen, nordrhein-westfalen, germany;33
755;guangzhou, asd, china;24
757;philadelphia, pennsylvania, usa;29
761;fuzhou, fujian, china;30
762;lisbon, n/a, portugal;23
764;eau claire, wisconsin, usa;28
766;matthews, north carolina, usa;52
767;omaha, nebr,;43
771;ft. sill, oklahoma, usa;38
772;braga, braga, portugal;27
773;khartoum, khartoum, sudan;52
774;wentzville, missouri, usa;16
775;jeddah, jeddah, saudi arabia;28
776;auckland, n/a, new zealand;23
777;portland, ,;13
781;london, england, united kingdom;20
782;hallandale, florida, usa;57
784;franklin, massachusetts, usa;39
786;panhandle, texas, usa;48
789;pepperell, ,;15
792;fishkill, new york, usa;44
794;chico, california, usa;47
801;mooresville, north carolina, usa;51
802;san fernando, buenos aires, argentina;33
803;santa cruz de la palma, santa cruz  de tenerife.-canarias, spain;41
804;washington ch, ohio, usa;38
805;sonoma, california, usa;34
807;heidelberg, baden-wuerttemberg, germany;32
809;commack, new york, usa;36
811;zurich, n/a, switzerland;34
812;calgary, alberta, canada;17
813;woodstock, illinois, usa;42
815;davis bay, sechelt, british columbia, canada;43
816;napoli, campania, italy;32
817;austin, texas, usa;41
820;florida, florida, usa;38
821;vicenza, veneto, italy;33
822;chesterfield, england, united kingdom;25
823;albuquerque, new mexico, usa;36
824;albuquerque, new mexico, usa;15
825;albuquerque, new mexico, usa;38
826;albuquerque, new mexico, usa;65
828;albuquerque, new mexico, usa;35
829;palo alto, california, usa;23
830;south amboy, new jersey, usa;57
831;santander, cantabria, spain;21
834;rockville, maryland, usa;17
835;collegno, piemonte, italy;35
837;lexington, kentucky, usa;26
838;knoxville, tennessee, usa;71
839;port harcourt, rivers, nigeria;40
840;santa coloma de gramenet, barcelona, spain;21
841;saint charles, mo, missouri, usa;24
842;wuppertal, northwest territories, germany;42
843;deer lodge, tennessee, usa;25
845;bari, puglia, italy;25
846;waco, texas, usa;55
847;pamplona, navarra, spain;23
850;bremen, bremen, germany;22
852;barcelona, n/a, spain;27
853;chesterfield, michigan, usa;24
854;malang, indonesia,;22
855;hamburg, hamburg, germany;54
856;madrid, madrid, spain;29
857;kuala lumpur, n/a, malaysia;25
858;orlando, florida, usa;46
860;bristol, england, united kingdom;26
862;olympia, washington, usa;56
863;space, space, somewherein space;73
866;barcelona, barcelona, spain;23
867;barcelona, barcelona, spain;27
868;getxo, vizcaya, spain;27
869;bucharest, bucharest, romania;30
870;trieste, friuli venezia giulia, italy;19
871;chicago, illinois, usa;19
872;bristol, england, united kingdom;22
875;lynchburg, virginia, usa;32
876;hanover, massachusetts, usa;33
881;saskatoon, saskatchewan, canada;24
882;berkeley, california, usa;23
883;brookfield, connecticut, usa;43
887;castaic, california, usa;30
889;manchester, england, united kingdom;46
893;firenze, toscana, italy;19
894;townsville, queensland, australia;22
895;geelong, victoria, australia;40
896;-, wales, united kingdom;27
897;coffs harbour, new south wales, australia;14
899;bielefeld, nordrhein-westfalen, germany;23
900;scranton, pennsylvania, usa;25
901;worcester, worcestershire, united kingdom;21
902;overland, missouri, usa;18
903;los angeles, california, usa;19
907;everett, washington, usa;31
909;poitiers, vienne, france;19
910;chandler, arizona, usa;25
911;stoneham, massachusetts, usa;40
912;alexandria, virginia, usa;33
913;manchester, lancs, united kingdom;44
914;griesheim, hessen, germany;51
915;humble, texas, usa;50
916;brisbane, queensland, australia;38
918;cartwright, newfoundland and labrador, canada;52
919;madrid, madrid, spain;65
920;islip, new york, usa;28
922;salt spring island, british columbia, canada;20
923;miami, florida, usa;21
924;grenoble, isere, france;29
926;lisboa, n/a, portugal;29
927;thonburi, bangkok, thailand;16
928;sunbury, victoria, australia;60
929;king of prussia, ,;36
930;cos cob, connecticut, usa;30
931;san francisco, california, usa;43
933;crewe, england, united kingdom;29
935;cebu city, cebu, philippines;21
936;socorro, new mexico, usa;24
937;le houlme, normandie, france;31
938;calgary, alberta, canada;55
939;manila city, national capital region, philippines;21
942;lille, nord, france;29
943;barcelona, catalunya, spain;24
944;toronto, ontario, canada;26
945;salerno, campania, italy;23
946;lancaster, lancashire, united kingdom;23
953;prato, toscana, italy;22
958;lindale, texas, usa;78
965;las cruces, new mexico, usa;24
966;dublin, leinster, ireland;22
967;belem, para, brazil;31
968;vigo, galicia, spain;25
969;river forest, illinois, usa;13
970;sydney, new south wales, australia;15
971;accra, n/a, ghana;22
974;waterford, ,;36
975;ann arbor, michigan, usa;34
976;melbourne, victoria, australia;28
978;alpharetta, georgia, usa;33
979;northampton, east midlands, united kingdom;36
980;gij¾«¼áasturias, spain;23
982;sheffield, alabama, usa;41
985;vigo, galicia, spain;23
989;san antonio, texas, usa;33
991;charlotte, north carolina, usa;62
992;sydney, nsw, australia;33
995;christchurch, canterbury, new zealand;34
999;newark, delaware, usa;21
1000;teramo, abruzzo, italy;34
1001;campbelltown, new south wales, australia;19
1002;vilafranca, barcelona, spain;25
1005;new york, new york, usa;67
1006;austin, texas, usa;59
1007;schaumburg, illinois, usa;16
1009;delano, minnesota, usa;56
1010;silver spring, maryland, usa;26
1011;vancouver, british columbia, canada;52
1013;philadelphia, pennsylvania, usa;23
1015;dartmouth, nova scotia, canada;18
1017;lneburg, niedersachsen, germany;35
1025;maidstone, england, united kingdom;33
1027;roma, liguria, italy;18
1028;acapulco, guerrero, mexico;57
1029;haverhill, massachusetts, usa;57
1030;memphis, tennessee, usa;29
1031;sparks, maryland, usa;52
1034;sÒ»ápaulo, sÒ»ápaulo, brazil;18
1035;sycamore, illinois, usa;26
1036;whitman, massachusetts, usa;25
1037;rising star, texas, usa;18
1038;dallas, texas, usa;26
1039;canton, pennsylvania, usa;38
1042;queensbury, new york, usa;40
1044;council bluffs, iowa, usa;34
1045;alvin, texas, usa;47
1048;oakville, ontario, canada;22
1049;dublin, dublin, ireland;34
1051;beijing, beijing, china;17
1052;tarcento, friuli venezia giulia, italy;31
1053;e. lansing, michigan, usa;20
1054;burnsville, minnesota, usa;37
1055;winterthur, zrich, switzerland;30
1056;santa cruz de tenerife, canarias, spain;35
1057;norwich, norfolk, united kingdom;19
1058;paris, n/a, france;23
1059;snoqualmie, washington, usa;47
1060;lincoln, nebraska, usa;38
1062;hibiscus coast, auckland, new zealand;16
1063;edmonton, alberta, canada;19
1064;worthing, west sussex, united kingdom;45
1066;chicopee, massachusetts, usa;59
1067;west allis, wisconsin, usa;37
1068;north bay, ontario, canada;18
1071;braga, n/a, portugal;22
1072;n¯¡Ñs, languedoc-roussillon, france;47
1073;terni, italy, italy;31
1075;hurst, texas, usa;49
1076;blacksburg, virginia, usa;20
1078;granada, granada, spain;28
1080;caballo, new mexico, usa;35
1081;san fernando, cßñ®z, spain;31
1082;rochester, washington, usa;36
1087;birmingham, alabama, usa;46
1088;raymond, washington, usa;17
1089;perry, florida, usa;22
1090;worthington, ohio, usa;49
1091;torralba de calatrava, ciudad real, spain;25
1094;largo, florida, usa;18
1096;arvada, colorado, usa;18
1099;albuquerque, new mexico, usa;32
1100;saskatoon, saskatchewan, canada;24
1102;madrid, madrid, spain;28
1104;kuala lumpur, selangor, malaysia;38
1105;bethlehem, pennsylvania, usa;57
1106;detmold, nordrhein-westfalen, germany;41
1109;joliet, illinois, usa;18
1110;dublin, county dublin, ireland;31
1113;richmond, missouri, usa;22
1114;napier, n/a, new zealand;59
1116;calgary, alberta, canada;29
1117;smyrna, georgia, usa;61
1122;denison, texas, usa;21
1123;lasalle, quebec, canada;23
1125;bothell, washington, usa;18
1126;barcelona, barcelona, spain;22
1128;dallas, texas, usa;61
1129;bothell, washington, usa;53
1130;manhattan, maryland, venezuela;26
1131;berkeley, ,;22
1133;kingswood, south australia, australia;46
1136;santa cruz de tenerife, canarias, spain;21
1137;zaragoza, schleswig-holstein, spain;25
1139;valladolid, espa±í¼áspain;33
1140;bridgewater, new jersey, usa;19
1141;santiago, n/a, chile;26
1142;vienna, vienna, austria;25
1143;aylesbury, buckinghamshire, united kingdom;45
1144;barcelona, barcelona, spain;21
1146;rathdrum, idaho, usa;55
1148;prairie village, kansas, usa;79
1150;jericho, vermont, usa;25
1151;london, england, united kingdom;22
1153;esplugues de llobregat, n/a, spain;26
1155;smyrna, georgia, usa;22
1157;milano, lombardia, italy;34
1159;noia, galiza, spain;25
1160;peterborough, ontario, canada;18
1162;madriz, madriz, spain;31
1163;pamplona, navarra, spain;32
1164;woburn, massachusetts, usa;35
1166;nantes, loire-atlantique, france;22
1167;milwaukee, wisconsin, usa;25
1168;bergisch gladbach ( bensberg), nordrhein-westfalen, germany;20
1169;olympia, washington, usa;27
1170;wauwatosa, wisconsin, usa;17
1171;norcross, georgia, usa;32
1172;bielefeld, nordrhein-westfalen, germany;26
1173;los angeles, california, usa;22
1174;oviedo, asturias, spain;32
1175;milan, lombardia, italy;27
1176;selma, alabama, usa;29
1178;heidelberg, baden-wuerttemberg, germany;9
1179;lisboa, lisboa, portugal;28
1180;storrs, connecticut, usa;23
1181;quelimane, zambezia, mozambique;38
1182;bandung, n/a, indonesia;23
1183;venice, veneto, italy;49
1184;la mirada, california, usa;38
1186;melbourne, victoria, australia;24
1187;newcastle, new south wales, australia;23
1188;montclair, new jersey, usa;29
1189;nrnberg, bayern, germany;39
1190;barcelona, barcelona, spain;24
1191;ogden, utah, usa;34
1192;klang, selangor, malaysia;27
1193;none, piemonte, italy;28
1196;barcelona, catalunya, spain;28
1197;solingen, nordrhein-westfalen, germany;40
1198;regensburg, bayern, germany;35
1199;salta, n/a, argentina;28
1201;los angeles, california, usa;22
1202;bailey, ,;43
1203;kenitra, kenitra, morocco;21
1205;dorval, quebec, canada;32
1209;chicago, illinois, usa;33
1211;rennes, bretagne, france;22
1212;giessen, hessen, germany;24
1213;capital federal, capital federal, argentina;19
1214;speicher, rheinland-pfalz, germany;30
1215;dumfries, scotland, united kingdom;17
1216;west linn, oregon, usa;24
1218;san francisco, california, usa;27
1219;taiping, perak, malaysia;17
1221;pozzuolo martesana, lombardia, italy;34
1225;lombard, illinois, usa;22
1226;glendale, california, usa;14
1227;singapore, n/a, singapore;16
1230;paris, n/a, france;34
1231;christchurch, n/a, new zealand;13
1232;hilversum, noord holland, netherlands;50
1233;ravenna, emilia romagna, italy;27
1234;barbera del valles, barcelona, spain;25
1236;somerville, massachusetts, usa;25
1237;valencia, valencia, spain;21
1238;christchurch, canterbury, new zealand;42
1239;istanbul, istanbul, turkey;37
1240;redwood city, california, usa;36
1242;edmonton, alberta, canada;25
1243;waverly, iowa, usa;34
1244;plano, texas, usa;55
1246;loveland, colorado, usa;36
1250;arlington, virginia, usa;44
1253;bogotß¼ácundinamarca, colombia;22
1254;16605 bennington ct, indiana, usa;26
1255;barcelona, barcelona, spain;23
1258;st. paul, minnesota, usa;18
1259;whistler, british columbia, canada;29
1260;campinas, sao paulo, brazil;17
1261;el paso, texas, usa;46
1262;roseland, new jersey, usa;39
1263;wiesbaden, hessen, germany;23
1266;island lake il., illinois, usa;19
1269;los altos, california, usa;42
1270;hartford, connecticut, usa;33
1271;calgary, alberta, canada;64
1280;huntersville, north carolina, usa;34
1281;london, england, united kingdom;32
1282;munich, bayern, germany;32
1283;chapel hill, north carolina, usa;26
1284;newton, new jersey, usa;44
1285;berlin, n/a, germany;28
1287;pontiac, illinois, usa;32
1288;colorado springs, colorado, usa;35
1289;san jose, california, usa;103
1290;angra do hero´┐¢o, n/a, portugal;26
1291;valencia, n/a, spain;34
1297;los gatos, california, usa;30
1298;madison, wisconsin, usa;20
1300;wauwatosa, wisconsin, usa;37
1301;benin, midwest nigeria, nigeria;18
1303;troy, michigan, usa;56
1304;northfield (near atlantic city), new jersey, usa;47
1305;edina, minnesota, usa;17
1309;walker, louisiana, usa;28
1312;roselle, illinois, usa;23
1313;lamezia terme, calabria, italy;30
1314;monza, lombardia, italy;48
1316;novara, piemonte, italy;18
1317;torrance, california, usa;63
1320;barry, vale of glamorgan, united kingdom;36
1321;bucharest, romania, romania;24
1322;framingham, massachusetts, usa;21
1323;milano, lombardia, italy;104
1326;firenze, toscana, italy;37
1328;knoxville, tennessee, usa;24
1329;cienaga (magdalena), bolivar, colombia;26
1331;lisboa, n/a, portugal;32
1333;monkeytown, queensland, australia;36
1334;birmingham, england, united kingdom;32
1336;lichfield, staffordshire, united kingdom;42
1337;cambridge, ontario, canada;28
1338;aurora, north carolina, usa;37
1339;sydney, new south wales, australia;14
1340;ithaca, new york, usa;21
1343;bishop auckland, england, united kingdom;33
1346;houston, texas, usa;25
1348;sacramento, california, usa;43
1352;cittÓá│ant`angelo, abruzzo, italy;35
1354;canberra, new south wales, australia;39
1355;roseville, minnesota, usa;71
1356;barcelona, espa±í¼áspain;16
1357;toowoomba, queensland, australia;56
1359;houston, texas, usa;14
1360;north hollywood, california, usa;36
1362;alcala de guadaira sevilla, alaska, spain;37
1364;orleans, ontario, canada;16
1365;cupertino, california, usa;16
1367;manly, new south wales, australia;23
1368;hopewell, virginia, usa;22
1370;boone, iowa, usa;26
1371;burbank, california, usa;36
1372;frankfurt, hessen, germany;34
1374;salt lake city, utah, usa;27
1375;dinwiddie, virginia, usa;59
1377;swansea, massachusetts, usa;20
1378;torino, piemonte, italy;37
1380;st. marys, ontario, canada;59
1382;phoenix, arizona, usa;33
1383;canberra, australian capital territory, australia;32
1384;coburg, oregon, usa;12
1387;new castle, indiana, usa;28
1388;madrid, madrid, spain;29
1389;trenton, michigan, usa;22
1390;greymouth, greymouth, new zealand;36
1392;liverpool, england, united kingdom;42
1393;barcelona, espa±í¼áspain;35
1394;la plata, n/a, argentina;28
1396;santa barbara, california, usa;35
1397;los angeles, california, usa;36
1399;york, maine, usa;41
