ISBN;Book_Title;Book_Author;Publication_Year;Publisher
8571644829;o xang?? de baker street: romance;j?? soares;1995;companhia das letras
857164554x;estranhos estrangeiros ;: epela noite;caio fernando abreu;"1996;companhia das letras"
8571647704;tormentos ocasionais: romance;bernadette lyra;1998;companhia das letras
8571648395;o homem que matou get??lio vargas: biografia de um anarquista;j?? soares;1998;companhia das letras
8571647658;achados e perdidos;l. a garc??a-roza;1998;companhia das letras
8571641145;a grande arte;rubem fonseca;1998;companhia das letras
8571648972;esta????o carandiru;drauzio varella;1999;companhia das letras
8571649375;a mulher que escreveu a biblia;moacyr scliar;1999;companhia das letras
8535900586;borges e os orangotangos eternos (literatura ou morte);lu??s fernando ver??ssimo;2000;companhia das letras
8535901809;uma janela em copacabana;l. a garc??a-roza;2001;companhia das letras
157324127x;uppity women of the renaissance;vicki leon;1999;conari press
761513418;richard bransonvirgin king: inside richard branson's business empire;tim jackson;1998;prima lifestyles
691089132;stars and planets (princeton field guides);ian ridpath;2001;princeton university press
1861976127;eatsshoots and leaves: the zero tolerance approach to punctuation;lynne truss;2004;profile books ltd
879755008;an enquiry concerning human understanding (great books in philosophy);david hume;1988;prometheus books
2253004359;jane eyre;charlotte bront????;1991;lgf
345374266;shadows in bronze;lindsey davis;1993;ballantine books
345391055;disclosure;michael crichton;1994;ballantine books
034532532x;the lasko tangent;richard north patterson;1994;ballantine books
345397819;lasher: lives of the mayfair witches (lives of the mayfair witches);anne rice;1995;ballantine books
034539657x;dark rivers of the heart;dean r. koontz;1995;ballantine books
034538184x;degree of guilt;richard north patterson;1995;ballantine books
345334019;escape the night;richard north patterson;1995;ballantine books
345394267;rainbow's end;martha grimes;1996;ballantine books
345387554;the horse you came in on;martha grimes;1996;ballantine books
345405072;lost world;michael crichton;1996;ballantine books
034540498x;final judgment;richard n. patterson;1996;ballantine books
345394259;hotel paradise;martha grimes;1997;ballantine books
345422384;pandora: new tales of the vampires (new tales of the vampires);anne rice;1999;ballantine books
345370775;jurassic park;michael crichton;1999;ballantine books
804118728;15 months in sog: a warrior's tour;thom nicholson;1999;ballantine books
805210555;the complete stories;franz kafka;1995;schocken books
2040160590;les essais - extraits;michel e. montaigne;0;schoenhofs foreign books
515131679;the gingerbread man;maggie shayne;2001;jove books
515120006;holding the dream (dream trilogy);nora roberts;2001;jove books
515130389;carolina moon;nora roberts;2001;jove books
515133973;midnight bayou;nora roberts;2004;jove books
958704049x;el hombre duplicado;jose saramago;2002;alfaguara edicioness.a. (spain)
679433023;violin;anne rice;1997;alfred a. knopf
821748564;happy endings;katherine stone;1995;kensington pub corp
195002121;the problems of philosophy;bertrand russell3d earl russell;1959;oxford university press
194312070;oxford english picture dictionary;e. c. parnwell;1982;oxford university press
192815032;pride and prejudice;jane austen;1987;oxford university press
194337863;start with english readers;rosemary border;1988;oxford university press
2070378233;la guerre de la fin du monde;mario vargas llosa;1987;gallimard
2070530663;sous le pavillon noir: pirates et flibustiers (aventures);philippe jacquin;1988;gallimard
553236210;nova;samuel r. delany;1991;spectra books
553576399;distraction: a novel;bruce sterling;1999;spectra books
1840181745;hoolifan: thirty years of hurt (mainstream sport);martin king;1999;mainstream publishing
749306629;charity ends at home (the flaxborough novels);colin watson;1991;mandarin
749312475;the queen of hearts;barbara cartland;1992;mandarin
749320346;the bridges of madison county;robert james waller;1995;mandarin
853361201x;a arte da felicidade: um manual para a vida;dalai lama;2001;martins fontes
684718634;cry the beloved country;alan paton;1990;simon schuster trade
425154092;from potter's field;patricia daniels cornwell;1996;berkley publishing group
425151867;acceptable risk;robin cook;1996;berkley publishing group
425133540;the sum of all fears (jack ryan novels);tom clancy;1996;berkley publishing group
425157784;mourn not your dead;deborah crombie;1997;berkley publishing group
425145425;a bite of death;susan conant;1997;berkley publishing group
425167313;here on earth;alice hoffman;1998;berkley publishing group
425166392;guilty pleasures;lawrence sanders;1998;berkley publishing group
425163407;unnatural exposure;patricia daniels cornwell;1998;berkley publishing group
425169863;point of origin;patricia daniels cornwell;1999;berkley publishing group
425172546;southern cross;patricia daniels cornwell;1999;berkley publishing group
425166619;toxin;robin cook;1999;berkley publishing group
425175405;black notice;patricia daniels cornwell;2000;berkley publishing group
425174018;hush money (spenser mysteries);robert b. parker;2000;berkley publishing group
425105679;cards on the table (hercule poirot mysteries (paperback));agatha christie;2001;berkley publishing group
042518109x;whispers;dean r. koontz;2001;berkley publishing group
042518630x;purity in death;j.d. robb;2002;berkley publishing group
425182908;isle of dogs;patricia cornwell;2002;berkley publishing group
425192776;a little mischief (berkley sensation);amelia grey;2003;berkley publishing group
679773274;dance for the dead;thomas perry;1996;random house inc
609803115;seinfeld: the totally unauthorized tribute (not that there's anything wrong with that);david wild;1998;random house inc
679450440;protect and defend;richard north patterson;2000;random house inc
679459596;billy straight: a novel;jonathan kellerman;1999;random house trade
671556037;split image;judy mercer;1999;pocket
2266091611;voyage au centre de la terre;jules verne;1999;pocket
671019414;hooked;stef ann holm;1999;pocket
671011375;death du jour;kathy reichs;2000;pocket
671785885;brown-eyed girl;mariah stewart;2000;pocket
671036556;wait until dark;andrea kane;2001;pocket
671047515;hell's kitchen;jeffery deaver;2001;pocket
671034006;heartbreaker;julie garwood;2001;pocket
671786466;paradise county;karen robards;2001;pocket
156007754;blindness (harvest book);jose saramago;1999;harvest books
156006847;the fencing master: a novel;arturo p??rez-reverte;2000;harvest books
b000051zuo;triangle;sondra marshak;0;pocket books
081296683x;girls' poker night: a novel;jill davis;2003;random house trade
073641150x;pooh's leaf pile (a winnie the pooh first reader);isabel gaines;1999;disney press
226612269x;ou es-tu?;marc levy;2003;distribooks inc
8501012076;cem anos de solidao;gabr garcia marquez;0;distribooks int'l+inc
850102872x;o amor nos tempos do colera;gabr garcia marquez;0;distribooks int'l+inc
801492823;four texts on socrates: plato's euthyphroapology of socratesand crito and aristophanes' clouds;thomas west;1984;cornell univ pr
786861347;don't stand too close to a naked man;tim allen;1994;hyperion books
449005828;bedford square (charlotte &amp; thomas pitt novels (paperback));anne perry;"2000;ballantine books"
345438663;the conversation piece 2: a new generation of questions;bret nicholaus;2000;ballantine books
804114986;the bonesetter's daughter;amy tan;2002;ballantine books
449003795;p is for peril;sue grafton;2002;ballantine books
804119716;out of control;suzanne brockmann;2002;ballantine books
553210793;the adventures of huckleberry finn (bantam classics);mark twain;1981;bantam
553275569;the right stuff;tom wolfe;1983;bantam
553280341;b is for burglar (kinsey millhone mysteries (paperback));sue grafton;1986;bantam
553279912;a is for alibi (kinsey millhone mysteries (paperback));sue grafton;1987;bantam
553280368;c is for corpse (kinsey millhone mysteries (paperback));sue grafton;1987;bantam
553272225;something wicked;carolyn g. hart;1988;bantam
055305340x;a brief history of time : from the big bang to black holes;stephen w. hawking;1988;bantam
553271636;d is for deadbeat (kinsey millhone mysteries (paperback));sue grafton;1988;bantam
385029551;confessions of saint augustine (image book);st. augustine;1960;image
8572130063;historias da tradicao sufi;edicoes dervish;0;alif pub corp
803928319;images of organization;gareth morgan;1986;sage pubns
261102753;the road to middle-earth;t. a. shippey;1992;harpercollins
140482091;the importance of being earnest and other plays;oscar wilde;1986;penguin books
014002154x;an unofficial rose;iris murdoch;1987;penguin books
140440100;adventures of don quixote (classics s.);miguel de cervantes;1988;penguin books
014044534x;the civilization of the renaissance in italy (penguin classics);jacob burckhardt;1990;penguin books
140445145;twilight of the idols and the anti christ (penguin classics);r.j. hollingdale;1990;penguin books
140445560;the odyssey (penguin classics);homer;1992;penguin books
140184929;brighton rock (twentieth century classics);graham greene;1995;penguin books
014043464x;mary barton: penguin classics;elizabeth gaskell;1996;penguin books
006000942x;how to read literature like a professor : a lively and entertaining guide to reading between the lines;thomas c. foster;2003;perennial currents
571117422;translations (faber paperbacks);brian friel;1995;"faber &amp; faber"
571173004;rain;kirsty gunn;0;faber faber inc
738203491;the pleasure of finding things out: the best short works of richard p. feynman;richard p. feynman;2000;perseus books group
425188221;shadowland;peter straub;2003;berkley publishing group
425179885;the devil's code;john sandford;2004;berkley publishing group
425126064;shadow prey;john sandford;2004;berkley publishing group
852600025x;os melhores poemas de jo??o cabral de melo neto (os melhores poemas);jo??o cabral de melo neto;1985;global editora
1893224546;the theory of everything: the origin and fate of the universe;s. w. hawking;2002;new millennium press
316779490;naked;david sedaris;1997;"little brown &amp; co"
821732951;a time for love;constance o'day-flannery;1994;kensington pub corp (mm)
1575660369;local knowledge;conor daly;1996;kensington publishing corporation
553286390;dragon wing (the death gate cyclebook 1);margaret weis;1990;bantam
553284789;f is for fugitive (kinsey millhone mysteries (paperback));sue grafton;1990;bantam
553293915;kat's cradle (kat colorado mysteries);karen kijewski;1992;bantam
553296906;blue willow;deborah smith;1993;bantam
553299514;lullaby town;robert crais;1993;bantam
553569031;gone but not forgotten;phillip m. margolin;1994;bantam
553572512;playing for the ashes;elizabeth george;1995;bantam
553569783;heartstone;phillip m. margolin;1995;bantam
553576089;in the presence of the enemy;elizabeth george;1997;bantam
553579983;and then you die;iris johansen;1998;bantam
553800973;body of lies;iris johansen;2002;bantam
553382349;the cinderella rules;donna kauffman;2003;bantam
553582372;a place of hiding;elizabeth george;2004;bantam
385486804;into the wild;jon krakauer;1997;anchor
385498721;survivor : a novel;chuck palahniuk;2000;anchor
385721420;three junes;julia glass;2003;anchor
385476760;the web of life: a new understanding of living systems;fritjof capra;1997;anchor books/doubleday
385484518;tuesdays with morrie: an old mana young manand life's greatest lesson;mitch albom;1997;doubleday
385509472;diary: a novel;chuck palahniuk;2003;doubleday
385509456;the curious incident of the dog in the night-time : a novel;mark haddon;2003;doubleday
373483880;the macgregors: serena - caine (the macgregors);nora roberts;1998;silhouette
671010387;we'll meet again;mary higgins clark;2000;"simon &amp; schuster (trade division)"
451180054;trial by fire;nancy taylor rosenberg;1996;signet book
451165209;the richest man in babylon;george s. clason;1997;signet book
451180062;abuse of power;nancy taylor rosenberg;1997;signet book
451407830;the burglar in the library: a bernie rhodenbarr mystery (bernie rhodenbarr mysteries (paperback));lawrence block;1998;signet book
1558744606;chicken soup for the mother's soul (chicken soup for the soul series (paper));jack canfield;1997;health communications
1558744630;chicken soup for the teenage soul (chicken soup for the soul);jack canfield;1997;health communications
451204530;code to zero;ken follett;2001;signet book
451206002;over the edge: an alex delaware novel (alex delaware novels (paperback));jonathan kellerman;2002;signet book
451167538;different seasons (signet);stephen king;2004;signet book
452280621;beloved;toni morrison;1998;plume books
452283248;leading the revolution: how to thrive in turbulent times by making innovation a way of life;gary hamel;2002;plume books
452285186;the book of bunny suicides;andy riley;2003;plume plume
067180720x;curtain;agatha christie;1976;pocket
671828657;maine massacre;janwillen van de wetering;1980;pocket
067183651x;without warning;fern michaels;1981;pocket
671443372;death takes bow;frances lockridge;1982;pocket
671443348;murder within murder;richard lockridge;1982;pocket
451522699;the tragedy of titus andronicus: the life of timon of athens with new dramatic criticism and an updated bibliography (shakespearewilliamworks.);william shakespeare;1989;signet classics
1573223565;songbook;nick hornby;2003;riverhead books
747541604;the gashlycrumb tinies;edward gorey;1998;bloomsbury publishing plc
747539944;victor: an unfinished song;joan jara;1998;bloomsbury publishing plc
374386137;a wrinkle in time;madeleine l'engle;1962;farrar straus giroux
374384436;a wind in the door;madeleine l'engle;1973;farrar straus giroux
374373620;a swiftly tilting planet;madeleine l'engle;1978;farrarstraus and giroux (byr)
345446666;death in holy orders : an adam dalgliesh mystery;p.d. james;2002;fawcett
465001106;the alien iq test: are we up to the challenge;clifford a. pickover;1997;harpercollins
380797410;twice seven: stories;ben bova;1998;harpercollins
64407667;the bad beginning (a series of unfortunate eventsbook 1);lemony snicket;1999;harpercollins
64407675;the reptile room (a series of unfortunate eventsbook 2);lemony snicket;1999;harpercollins
380977788;coraline;neil gaiman;2002;harpercollins
192834770;the secret agent: a simple tale (oxford world's classics);joseph conrad;1998;oxford university press
192838717;the red and the black: a chronicle of the nineteenth century (oxford world's classics);stendhal;1998;oxford university press
307103439;just be nice...and say you're sorry!: super shape book (pooh);catherine mccafferty;1998;golden books publishing company
385722192;lullaby: a novel;chuck palahniuk;2003;anchor books/doubleday
836204387;the calvin and hobbes tenth anniversary book;bill watterson;1995;andrews mcmeel publishing
553013653;pinball;jerzy n kosinski;1982;bantam books
553206664;mind over murder;william x. kienzle;1982;bantam books
451457994;2001: a space odyssey;arthur c. clarke;2000;roc
451459393;the way of the wolf (the vampire earthbook 1);e. e. knight;2003;roc
8532501192;as valk??rias;paulo coelho;1992;rocco
553270001;dead on arrival;dorothy simpson;1989;crimeline
055356773x;the cereal murders;diane mott davidson;1994;crimeline
399145672;big trouble;dave barry;1999;putnam publishing group
399150439;naked prey;john sandford;2003;putnam publishing group
399150854;blacklist: a v.i. warshawski novel;sara paretsky;2003;putnam publishing group
789724596;java server pages from scratch (from scratch);maneesh sahu;2000;que
385501560;choke;chuck palahniuk;2001;doubleday books
486270629;a doll's house;henrik ibsen;1992;dover publications
486270696;the mysterious stranger and other stories (dover thrift editions);mark twain;1992;dover publications
039489748x;the berenstain bears and the double dare (first time books);stan berenstain;1988;random house children's books
394830148;the berenstain bears and too much vacation (first time books);stan berenstain;1989;random house children's books
451169522;misery;stephen king;2004;penguin usa (paper)
067943853x;of love and other demons;gabriel garcia marquez;1995;knopf
375414517;angel rock (vintage contemporaries);darren williams;2002;knopf
1400042070;the amateur marriage: a novel;anne tyler;2004;knopf
929654668;lavie parisienne;james jennings;1990;blue moon books
316769487;the catcher in the rye;j.d. salinger;1991;littlebrown
316666343;the lovely bones: a novel;alice sebold;2002;littlebrown
805019375;l is for lawless (kinsey millhone mysteries);sue grafton;1995;"henry holt &amp; company"
805036377;m is for malice (kinsey millhone mysteries (hardcover));sue grafton;1996;"henry holt &amp; company"
059035342x;harry potter and the sorcerer's stone (harry potter (paperback));j. k. rowling;1999;arthur a. levine books
8251800811;a time for trolls: fairy tales from norway;peter c. asbjornsen;1992;arthur vanous co
805059555;\o\ is for outlaw;sue grafton;1999;"henry holt &amp; company"
805013342;\a\ is for alibi : a kinsey millhone mystery (a kinsey millhone mystery);sue grafton;1982;henry holt and co.
449143589;the voyagers;vivian lord;1982;fawcett books
449214176;bluebeard's egg and other stories;margaret atwood;1987;fawcett books
553247786;miracle worker;william gibson;1984;bantam books
553251902;night she died -op/67;dorothy simpson;1985;bantam books
553212087;howards end;e. m. forster;1985;bantam books
055376196x;dancing in the light;shirley maclaine;1986;bantam books
553275976;the bonfire of the vanities;tom wolfe;1988;bantam books
553280732;jemima shore's first case;antonia fraser;1989;bantam books
553282085;a little class on murder;carolyn g. hart;1989;bantam books
553278029;a great deliverance;elizabeth george;1989;bantam books
553275100;the butcher's theater;jonathan kellerman;1989;bantam books
553272543;ballad of the sad cafe and other stories;carson mccullers;1990;bantam books
553284363;payment in blood;elizabeth george;1990;bantam books
553286765;internal affairs;jerry oster;1990;bantam books
553283111;quiet as a nun (jemima shore mysteries);antonia fraser;1991;bantam books
553287346;well-schooled in murder;elizabeth george;1991;bantam books
553263153;bobby fischer teaches chess;bobby fischer;1992;bantam books
449212254;the raven in the foregate (brother cadfael mysteries);ellis peters;1988;fawcett books
449217124;thornyhold;mary stewart;1989;fawcett books
449130703;the number of the beast;robert heinlein;1989;fawcett books
449216403;a trouble of fools;linda barnes;1990;fawcett books
449209598;murder in the smithsonian (capital crime mysteries);margaret truman;1990;fawcett books
449219232;jasmine;bharati mukherjee;1991;fawcett books
449146669;a stunning way to die (lady margaret priam series);joyce christmas;1991;fawcett books
449219364;g is for gumshoe (kinsey millhone mysteries (paperback));sue grafton;1991;fawcett books
449207463;superior women;alice adams;1993;fawcett books
804111332;probable cause;grif stockley;1993;fawcett books
671755862;live from the battlefield: from vietnam-baghdad 35 yrs inside worlds war zones;peter arnett;1994;"simon &amp; schuster"
684819066;a beautiful mind : a biography of john forbes nashjr.;sylvia nasar;1998;"simon &amp; schuster"
671472569;meridian;alice walker;1999;"simon &amp; schuster"
671746723;dirk gently's holistic detective agency;douglas adams;1991;pocket books
671536192;until the bough breaks;christine mcguire;1998;pocket books
671027662;coast road: a novel;barbara delinsky;1999;pocket books
140258345;after rain;william trevor;1997;penguin books
140435387;jude the obscure (penguin classics);thomas hardy;1998;penguin books
140282777;big fish: a novel of mythic proportions;daniel wallace;1999;penguin books
140296409;disgrace;j. m. coetzee;2000;penguin books
140282033;chocolat;joanne harris;2000;penguin books
140437886;man and superman: a comedy and a philosophy (penguin classics);bernard shaw;2001;penguin books
142000663;the grapes of wrath: john steinbeck centennial edition (1902-2002);john steinbeck;2002;penguin books
141439726;bleak house (penguin classics);charles dickens;2003;penguin books
142001740;the secret life of bees;sue monk kidd;2003;penguin books
8570070063;a corrente de trewis scott;roberto schneider;1985;n??rdica
1879639815;motivating students who don't care: successful techniques for educators;allen n. mendler;2001;national educational service
871318415;living in space: a handbook for work &amp; exploration beyond the earth's atmosphere;g. harry stine;"1997;natl book network"
1557507651;the shipping revolution: the modern merchant ship;robert gardiner;1992;naval inst pr
517584921;manhattan nocturne: a novel;colin harrison;1996;crown publishers
8529300165;new business: a chave do neg??cio em propaganda;jens olesen;1993;cultura editores associados
