ISBN;Book_Title;Book_Author;Publication_Year;Publisher
1558744606;chicken soup for the mother's soul (chicken soup for the soul series (paper));jack canfield;1997;health communications
1558744630;chicken soup for the teenage soul (chicken soup for the soul);jack canfield;1997;health communications
0451204530;code to zero;ken follett;2001;signet book
0451206002;over the edge: an alex delaware novel (alex delaware novels (paperback));jonathan kellerman;2002;signet book
0451167538;different seasons (signet);stephen king;2004;signet book
0452280621;beloved;toni morrison;1998;plume books
0452283248;leading the revolution: how to thrive in turbulent times by making innovation a way of life;gary hamel;2002;plume books
0452285186;the book of bunny suicides;andy riley;2003;plume plume
067180720x;curtain;agatha christie;1976;pocket
0671828657;maine massacre;janwillen van de wetering;1980;pocket
067183651x;without warning;fern michaels;1981;pocket
0671443372;death takes bow;frances lockridge;1982;pocket
0671443348;murder within murder;richard lockridge;1982;pocket
0451522699;the tragedy of titus andronicus: the life of timon of athens with new dramatic criticism and an updated bibliography (shakespearewilliamworks.);william shakespeare;1989;signet classics
1573223565;songbook;nick hornby;2003;riverhead books
0747541604;the gashlycrumb tinies;edward gorey;1998;bloomsbury publishing plc
0747539944;victor: an unfinished song;joan jara;1998;bloomsbury publishing plc
0374386137;a wrinkle in time;madeleine l'engle;1962;farrar straus giroux
0374384436;a wind in the door;madeleine l'engle;1973;farrar straus giroux
0374373620;a swiftly tilting planet;madeleine l'engle;1978;farrarstraus and giroux (byr)
0345446666;death in holy orders : an adam dalgliesh mystery;p.d. james;2002;fawcett
0465001106;the alien iq test: are we up to the challenge;clifford a. pickover;1997;harpercollins
0380797410;twice seven: stories;ben bova;1998;harpercollins
0064407667;the bad beginning (a series of unfortunate eventsbook 1);lemony snicket;1999;harpercollins
0064407675;the reptile room (a series of unfortunate eventsbook 2);lemony snicket;1999;harpercollins
0380977788;coraline;neil gaiman;2002;harpercollins
0192834770;the secret agent: a simple tale (oxford world's classics);joseph conrad;1998;oxford university press
0192838717;the red and the black: a chronicle of the nineteenth century (oxford world's classics);stendhal;1998;oxford university press
0307103439;just be nice...and say you're sorry!: super shape book (pooh);catherine mccafferty;1998;golden books publishing company
0385722192;lullaby: a novel;chuck palahniuk;2003;anchor books/doubleday
0836204387;the calvin and hobbes tenth anniversary book;bill watterson;1995;andrews mcmeel publishing
0553013653;pinball;jerzy n kosinski;1982;bantam books
0553206664;mind over murder;william x. kienzle;1982;bantam books
0451457994;2001: a space odyssey;arthur c. clarke;2000;roc
0451459393;the way of the wolf (the vampire earthbook 1);e. e. knight;2003;roc
8532501192;as valk??rias;paulo coelho;1992;rocco
0553270001;dead on arrival;dorothy simpson;1989;crimeline
055356773x;the cereal murders;diane mott davidson;1994;crimeline
0399145672;big trouble;dave barry;1999;putnam publishing group
0399150439;naked prey;john sandford;2003;putnam publishing group
0399150854;blacklist: a v.i. warshawski novel;sara paretsky;2003;putnam publishing group
0789724596;java server pages from scratch (from scratch);maneesh sahu;2000;que
0385501560;choke;chuck palahniuk;2001;doubleday books
0486270629;a doll's house;henrik ibsen;1992;dover publications
0486270696;the mysterious stranger and other stories (dover thrift editions);mark twain;1992;dover publications
039489748x;the berenstain bears and the double dare (first time books);stan berenstain;1988;random house children's books
0394830148;the berenstain bears and too much vacation (first time books);stan berenstain;1989;random house children's books
0451169522;misery;stephen king;2004;penguin usa (paper)
067943853x;of love and other demons;gabriel garcia marquez;1995;knopf
0375414517;angel rock (vintage contemporaries);darren williams;2002;knopf
1400042070;the amateur marriage: a novel;anne tyler;2004;knopf
0929654668;lavie parisienne;james jennings;1990;blue moon books
0316769487;the catcher in the rye;j.d. salinger;1991;littlebrown
0316666343;the lovely bones: a novel;alice sebold;2002;littlebrown
0805019375;l is for lawless (kinsey millhone mysteries);sue grafton;1995;"henry holt &amp; company"
0805036377;m is for malice (kinsey millhone mysteries (hardcover));sue grafton;1996;"henry holt &amp; company"
059035342x;harry potter and the sorcerer's stone (harry potter (paperback));j. k. rowling;1999;arthur a. levine books
059035342x;harry potter and the sorcerer's stone (harry potter (paperback));j. k. rowling;1999;arthur a. levine books
8251800811;a time for trolls: fairy tales from norway;peter c. asbjornsen;1992;arthur vanous co
0805059555;\o\ is for outlaw;sue grafton;1999;"henry holt &amp; company"
0805013342;\a\ is for alibi : a kinsey millhone mystery (a kinsey millhone mystery);sue grafton;1982;henry holt and co.
0449143589;the voyagers;vivian lord;1982;fawcett books
0449214176;bluebeard's egg and other stories;margaret atwood;1987;fawcett books
0553247786;miracle worker;william gibson;1984;bantam books
0553251902;night she died -op/67;dorothy simpson;1985;bantam books
0553212087;howards end;e. m. forster;1985;bantam books
055376196x;dancing in the light;shirley maclaine;1986;bantam books
0553275976;the bonfire of the vanities;tom wolfe;1988;bantam books
0553280732;jemima shore's first case;antonia fraser;1989;bantam books
0553282085;a little class on murder;carolyn g. hart;1989;bantam books
0553278029;a great deliverance;elizabeth george;1989;bantam books
0553275100;the butcher's theater;jonathan kellerman;1989;bantam books
0553272543;ballad of the sad cafe and other stories;carson mccullers;1990;bantam books
0553284363;payment in blood;elizabeth george;1990;bantam books
0553286765;internal affairs;jerry oster;1990;bantam books
0553283111;quiet as a nun (jemima shore mysteries);antonia fraser;1991;bantam books
0553287346;well-schooled in murder;elizabeth george;1991;bantam books
0553263153;bobby fischer teaches chess;bobby fischer;1992;bantam books
0449212254;the raven in the foregate (brother cadfael mysteries);ellis peters;1988;fawcett books
0449217124;thornyhold;mary stewart;1989;fawcett books
0449130703;the number of the beast;robert heinlein;1989;fawcett books
0449216403;a trouble of fools;linda barnes;1990;fawcett books
0449209598;murder in the smithsonian (capital crime mysteries);margaret truman;1990;fawcett books
0449219232;jasmine;bharati mukherjee;1991;fawcett books
0449146669;a stunning way to die (lady margaret priam series);joyce christmas;1991;fawcett books
0449219364;g is for gumshoe (kinsey millhone mysteries (paperback));sue grafton;1991;fawcett books
0449207463;superior women;alice adams;1993;fawcett books
0804111332;probable cause;grif stockley;1993;fawcett books
0671755862;live from the battlefield: from vietnam-baghdad 35 yrs inside worlds war zones;peter arnett;1994;"simon &amp; schuster"
0684819066;a beautiful mind : a biography of john forbes nashjr.;sylvia nasar;1998;"simon &amp; schuster"
0671472569;meridian;alice walker;1999;"simon &amp; schuster"
0671746723;dirk gently's holistic detective agency;douglas adams;1991;pocket books
0671536192;until the bough breaks;christine mcguire;1998;pocket books
0671027662;coast road: a novel;barbara delinsky;1999;pocket books
